date,open,high,low,close,vol_btc,vol_usd,rv_5m,rv_park,adr_act,mvrv,fee_ntv,flow_in_ex,flow_out_ex,hashrate,sply,sply_ex,tx_tfr,spot_vol_usd,eth_price,stbl_sply,funding_daily,fwd_ret_1d,fwd_ret_2d,fwd_ret_3d
2019-01-10,4003.09,4036.22,3503.44,3627.51,16118.42088248,60576493.59934185,0.06451414471453612,0.06566824333157611,619701.0,0.88542141,24.57361448,30291.1458428,32566.66978765,45805513.9921718,17472892.32720693,2585700.62941157,633976.0,1075230754.37069,149.62985622443,2923081843.053429,,0.001242504839905101,-0.002865568779934717,-0.031236703475441625
2019-01-11,3627.65,3704.6,3569.85,3632.02,10571.08164263,38423458.304798014,0.02614272406995007,0.02894404847154948,634499.0,0.80976747,25.31026548,42597.60536361,40808.48428414,43571098.6754805,17474842.32717963,2587489.75049104,654062.0,1629540261.36053,126.929803915839,2935927200.603429,,-0.004108073619839863,-0.03247920831534668,0.008842895774243317
2019-01-12,3631.0,3650.35,3557.09,3617.13,3184.35219414,11537938.849480392,0.015853103930432513,0.021023394198165492,623617.0,0.80976244,24.37337421,37860.51727564,42688.12713624,41336683.3587892,17476692.32715233,2582662.14063044,646270.0,974204297.31489,124.970574225599,2939470701.783429,,-0.028371134695506905,0.012950969394082973,-0.01117600309820347
2019-01-13,3617.75,3654.02,3476.0,3515.95,5908.52280454,20937348.795280095,0.030200897794552914,0.03034017905099854,521168.0,0.80855945,17.34751923,15134.28797924,16285.41853691,38543664.212925,17478417.32715233,2581511.01007277,565546.0,658144955.363762,124.329310637054,2941525672.483429,,0.04132210408958989,0.01719513159730335,0.025264407050528823
2019-01-14,3517.03,3714.0,3506.0,3664.28,9925.99072165,35860975.5492831,0.028914967746404514,0.03401129149341807,477843.0,0.784834,13.97802989,14436.1089319,13790.98722924,38264362.2983386,17480129.82715233,2582156.13177543,531588.0,700895357.802798,115.339895382817,2948681587.883429,,-0.024126972492286496,-0.016057697039061167,-0.007195034250848931
2019-01-15,3664.28,3687.02,3534.68,3576.93,8059.8173777,29239886.957744054,0.026148986448197853,0.024805613855869074,604549.0,0.82050798,20.10803157,36942.11165841,32251.72587578,43489353.9009638,17481992.32712503,2586846.51755806,637600.0,925378890.022718,128.323583869082,2941438260.383429,,0.008069275453225395,0.016931938241437516,0.008984021217705864
2019-01-16,3576.92,3669.0,3570.48,3605.91,7675.06606371,27663131.642305814,0.023026927667319542,0.02336649084650236,621686.0,0.80090242,21.69496074,40764.35470807,40737.24395996,38609293.9848548,17483642.32709773,2586873.62830617,611876.0,940784213.830291,120.32987609585,2937016071.603429,,0.008862662788212176,0.0009147457644804889,0.020610288329886872
2019-01-17,3609.5,3660.0,3534.25,3638.01,7499.52552971,27015905.278288968,0.022139225550759478,0.02397140908488884,639811.0,0.80691139,24.64584824,34903.3413613,29913.590406,38901788.6362552,17485304.82707043,2591863.37926147,630417.0,826890285.364818,122.420913793103,2933160367.153429,,-0.007947917023731781,0.011747625541674684,-0.02823708489803024
2019-01-18,3638.01,3641.9,3577.0,3609.21,5023.5102908,18145313.431511205,0.014226959333232135,0.015562492922278534,619396.0,0.81482992,24.00866647,30967.62687125,31562.69642137,37146820.7278527,17486892.32704313,2591268.30971135,627707.0,843658221.552801,122.647751607247,2944048973.573429,,0.019695542565406468,-0.020289167874298474,-0.021763370310711058
2019-01-19,3609.29,3774.0,3602.6,3681.0,4080.88346413,15096181.935382424,0.04131689589090113,0.02699496817601643,606378.0,0.80838072,20.18583816,25521.64602569,26727.87848655,40364261.8932572,17488617.32701583,2590062.07725049,616148.0,680285114.808071,119.485191408533,2928287592.243429,,-0.03998471043970503,-0.04145891287611747,-0.02871311266803435
2019-01-20,3680.0,3703.27,3470.0,3536.72,5591.01583422,19975166.924709734,0.0301079738305074,0.03219855281427018,519467.0,0.82616434,17.39761572,16810.72410315,16329.42534,38901788.6362552,17490279.82701583,2590543.37601364,549525.0,727113518.066218,123.487991233197,2928283428.143429,,-0.0014742024364125983,0.011271597771670553,0.0044011672049661735
2019-01-21,3537.42,3573.29,3485.58,3531.51,5821.89983137,20585699.121515453,0.017980681095376875,0.0183887100468122,518578.0,0.79319975,14.55515962,15995.42104144,14733.0262866,45921660.2698651,17492242.32701583,2591805.77076848,557663.0,769693147.278172,117.515231735827,2928278390.943429,,0.012745800208083235,0.005875369641378734,0.011044515159946021
2019-01-22,3531.51,3615.8,3401.36,3576.81,6877.0636755000005,24386946.608924363,0.05024481403324615,0.032108447349482254,604061.0,0.79297133,20.19668429,28204.78385552,32830.72692736,43874197.7100622,17494117.32701583,2587179.82769664,624172.0,672607286.524668,115.918843074226,2928018271.843429,,-0.0068704305667043625,-0.0017012850481371445,-0.0047107968649106515
2019-01-23,3574.44,3620.23,3518.0,3552.32,6170.84267224,21999008.16275878,0.020091658811857042,0.020817757442067836,594573.0,0.80398567,20.7819068,33581.47593053,34650.73691571,38024304.6820539,17495742.32701583,2586110.56671146,590852.0,840575740.383188,117.97571975453,2926265780.173429,,0.005169145518567335,0.002159633701793883,0.0009116643005805065
2019-01-24,3553.2,3598.0,3524.0,3570.73,4488.01463801,15952657.329493491,0.015286858518388237,0.01604448732257915,685141.0,0.79874618,22.83135483,31034.9653434,29551.93002312,42704219.1044605,17497567.32701583,2587593.60203174,640715.0,796849698.849144,116.313436586791,2929714495.4134293,,-0.0030095118167734387,-0.004257481217986639,-0.010557589941471258
2019-01-25,3570.67,3578.79,3511.0,3560.0,4961.79512299,17621541.67742889,0.015947456038593273,0.017197492622123188,619376.0,0.80256605,22.80567337,27952.66366433,30163.81096474,47384133.5268671,17499592.32701504,2585382.45473133,617467.0,668730948.724065,116.326357977791,2920200361.3334293,,-0.0012479694012131565,-0.007548078124697815,-0.037346066906700094
2019-01-26,3560.94,3657.89,3536.51,3555.56,2697.88387935,9673822.098101366,0.018682020815601975,0.019906315875277233,629078.0,0.80172488,24.88866124,26540.71535422,28142.5563084,40364261.8932572,17501317.32701504,2583780.61377715,647713.0,674019496.172586,114.967366452367,2922778044.323429,,-0.006300108723484604,-0.036098097505486836,-0.04753517232096614
2019-01-27,3555.31,3564.12,3456.0,3533.23,3852.6596409,13628939.129027005,0.015813843221422257,0.020174441011334098,585285.0,0.8011809,19.84461392,13817.98195732,14995.21412554,43874197.7100622,17503192.32701504,2582603.38160893,608410.0,652271703.141471,115.040040035067,2914927173.723429,,-0.029797988782002315,-0.04123506359748149,-0.027511641062281832
2019-01-28,3532.23,3536.77,3357.3,3429.5,10345.1009104,35525274.48525014,0.024117580508009294,0.026624613253583607,487233.0,0.79718191,15.57255856,15185.08469204,13950.4449908,40071767.2418568,17504904.82701504,2583838.02131017,527715.0,735110776.353289,111.82207685564,2921222479.133429,,-0.011437074815479257,0.0022863477197205676,-0.004790578842102363
2019-01-29,3431.43,3438.76,3322.19,3390.5,7284.38686266,24706152.813032024,0.01811417695673455,0.019762607450638525,650793.0,0.77522856,24.94335531,45007.55439071,48199.94090582,42053315.6218028,17506717.32701504,2580645.63479506,657183.0,1094503328.35146,105.667155756867,2913658263.903429,,0.013723422535199828,0.00664649597337696,0.01299003076928231
2019-01-30,3391.25,3465.05,3372.34,3437.35,5704.02340186,19555175.699694447,0.017726139871084737,0.016849789633130944,607365.0,0.76708054,22.53753118,32845.28485478,34729.26731124,42201068.2451955,17508542.32699504,2578761.6523386,635134.0,725337975.874217,104.227875803624,2903626268.763429,,-0.007076926561822838,-0.0007333917659174469,0.007382460338709041
2019-01-31,3438.0,3474.2,3392.6,3413.11,5951.8181698,20360609.537626226,0.014753885402826418,0.016652891044438057,622377.0,0.77747695,21.71721508,43648.51445594,40635.36818103,39310584.1188122,17510242.32699504,2581774.79861351,660341.0,739732092.365871,107.66988603156,2903594442.813429,,0.006343534795905431,0.014459386900531786,0.0005008838801075048
2019-02-01,3413.69,3460.0,3364.53,3434.83,6659.84752495,22736291.137156572,0.01529750768749691,0.016990933915384577,632855.0,0.77173662,30.63013691,37253.91203236,40028.66948413,44802503.9589404,17512179.82699504,2579000.04116174,679939.0,679507855.350405,105.739236119229,2887851217.013429,,0.008115852104626474,-0.005842650915797857,-0.007000043191432325
2019-02-02,3434.83,3485.0,3406.38,3462.82,3051.95860768,10490200.460310625,0.0125934806986791,0.014493736258318261,654356.0,0.78014383,31.3733019,47881.99058723,57262.89661179,45669649.1968553,17514154.82699504,2569619.13513718,677883.0,637091686.5035,106.634947691409,2888065685.613429,,-0.013958503020424286,-0.015115895296058736,-0.0091178591151267
2019-02-03,3470.5,3476.33,3384.67,3414.82,2813.89222442,9627452.789118469,0.01602385364839865,0.014685752837038178,560738.0,0.78422167,18.97403435,15149.76417095,20277.79124026,41622971.4199188,17515954.82699504,2564491.10806787,616757.0,499732373.953866,108.571131794272,2888259947.313429,,-0.0011573922756345036,0.00484064390529766,-0.014809753466987548
2019-02-04,3413.75,3439.46,3394.85,3410.87,3244.08497898,11074513.996956272,0.011039257920033387,0.010504237872352388,518121.0,0.77343528,14.58804954,14669.0548035,13120.15536405,39888680.9440889,17517679.82699504,2566040.00750732,571212.0,512452779.012544,106.021722676797,2888254779.113429,,0.005998036180932003,-0.013652361191352987,-0.015225841390174414
2019-02-05,3409.81,3435.0,3396.0,3431.39,4045.62530164,13840500.517026378,0.010917017188311628,0.009800218517081719,610696.0,0.77384742,16.99461248,23454.280416,23381.35037671,42490116.6578338,17519517.32699504,2566112.93754661,618658.0,608532445.89001,106.026675628288,2882406134.6634293,,-0.01965039737228514,-0.021223877571106574,0.054320424014101074
2019-02-06,3431.81,3445.6,3328.7,3364.62,6137.40639817,20701211.961183205,0.014430337388792496,0.01856574870263973,645414.0,0.77765737,17.19570167,23178.91100098,22418.65593081,42490116.6578338,17521354.82699504,2566873.19261678,691605.0,668174092.945875,106.135586499123,2875556500.713429,,-0.0015734801988214581,0.07397082138638619,0.0738824914297759
2019-02-07,3364.0,3383.29,3350.0,3359.33,4293.5558141,14448026.521799268,0.008978698959711914,0.007481105476854125,686774.0,0.76510945,21.84138191,30261.32354049,29737.01678797,47403939.6726853,17523404.82699504,2567397.4993693,666286.0,818692463.076086,103.394712156634,2872385435.4334292,,0.0755443015852077,0.07545597162859749,0.08308698299040124
2019-02-08,3358.39,3711.04,3337.91,3622.94,14388.64754224,50265466.298768826,0.053071821199212416,0.05101754143337965,645404.0,0.76378864,16.74721864,33652.88284629,25511.340992,50294423.7990685,17525579.82699504,2575539.04122359,660286.0,532905618.117249,103.299053769725,2867225694.533429,,-8.83299566102278e-05,0.007542681405193528,-0.009495830986288895
2019-02-09,3626.12,3639.74,3589.52,3622.62,4054.50461695,14660182.418389583,0.01471159573881977,0.013762134846682718,691966.0,0.8216013,21.04186133,41957.17806028,35743.86086235,47114891.260047,17527617.32698958,2581752.35842152,689501.0,1299396370.65385,117.501485096435,2867487129.1634293,,0.007631011361803845,-0.00940750102967876,-0.010176877649591664
2019-02-10,3622.74,3662.43,3576.16,3650.37,4155.50568273,14996876.135994256,0.014367875649125797,0.014763163409820044,561955.0,0.82367897,17.52526049,19325.69782325,17123.83344889,43357261.8957488,17529492.32698958,2583954.22279588,593020.0,690499396.747154,118.103963471654,2867932468.563429,,-0.01703851239148258,-0.017807889011395468,-0.02088293678514484
2019-02-11,3651.32,3652.56,3578.7,3588.7,7931.40887407,28526406.055885594,0.015931125754744632,0.01572547007342692,501124.0,0.8284814,14.40198512,16257.16683086,15330.69980906,41080343.9102215,17531242.32698958,2584880.68981768,563495.0,744518465.746495,123.577868205728,2867927765.563429,,-0.0007693766199129322,-0.003844424393662276,-0.007900269928611803
2019-02-12,3588.99,3619.93,3548.28,3585.94,10074.81670532,36046605.766822614,0.015470543605359838,0.017112502529347283,709903.0,0.81717159,22.80689865,28266.82561418,33533.85164671,43691361.6410391,17533054.82698958,2579613.66378515,598984.0,757347590.185715,119.726615429573,2838547872.853429,,-0.0030750477737493554,-0.007130893308698825,-0.0054948035621879415
2019-02-13,3585.7,3629.81,3541.0,3574.93,7992.74321134,28611680.003698297,0.014098224686107615,0.013498079222464286,809914.0,0.81707553,34.99484013,31631.30613971,27989.3745333,38568926.1382966,17534654.82698412,2583255.59539156,620420.0,865368517.872786,120.828701928697,2838607230.173429,,-0.004055845534949451,-0.0024197557884384924,0.001394858259518495
2019-02-14,3575.01,3590.74,3531.01,3560.46,5910.24312876,21085678.931032643,0.013759426916234385,0.01258177669494379,758224.0,0.81622357,34.87820414,35154.64989879,31792.78508858,46101919.5246827,17536567.32697866,2586617.46020177,717731.0,869771399.371547,120.690225891292,2837209570.1634293,,0.0016360897465110642,0.005450703794467857,0.018130041851807954
2019-02-15,3560.45,3620.53,3544.88,3566.29,6234.76805726,22270399.503012173,0.018095607287216677,0.0161608462181755,617275.0,0.81324408,26.13967392,26444.80961738,25176.04627461,42486082.6992174,17538329.8269732,2587886.22354454,671656.0,755538425.185984,119.68091320865,2827639447.603429,,0.003814614047956891,0.016493952105297,0.08167698637343827
2019-02-16,3566.29,3609.0,3561.96,3579.92,3442.47630393,12351599.628962578,0.016309957622308958,0.012344867387267113,621340.0,0.81432592,26.42301092,26306.24806101,33908.42852135,38267606.4028412,17539917.32696774,2580284.0430842,619537.0,691890064.174443,120.360025423729,2828248559.453429,,0.012679338057339944,0.07786237232548121,0.08267273856278201
2019-02-17,3580.43,3663.34,3553.98,3625.6,5012.46127538,18010241.943351395,0.017347256148308482,0.020887122247804875,587666.0,0.81951471,21.90521087,17622.44088561,14020.80735835,45197960.3183164,17541792.32696774,2583885.67661146,633732.0,693193200.615665,121.804881063705,2824968035.653429,,0.06518303426814116,0.06999340050544191,0.08227983274490208
2019-02-18,3625.6,3916.47,3614.82,3869.8,15567.08485429,58665398.1183088,0.03530455347410359,0.03770805309908939,526787.0,0.82849268,19.40747687,12806.43683396,14741.86357766,47909837.9374153,17543779.82696774,2581950.24986776,604917.0,983619690.069489,132.80649006429,2824683406.553429,,0.00481036623730077,0.017096798476760783,0.007876285859135468
